Date;Open;High;Low;Close;Adj Close;Volume
25/4/2022;213,81;216,66;204,51;209,91;209,91;28.152.000
26/4/2022;208,80;209,15;198,28;198,40;198,40;20.318.100
27/4/2022;194,01;200,19;187,77;188,54;188,54;22.298.400
28/4/2022;191,56;201,48;185,60;199,52;199,52;21.363.200
29/4/2022;198,68;204,71;190,00;190,36;190,36;16.391.900
2/5/2022;191,71;200,21;190,01;199,46;199,46;14.591.600
3/5/2022;198,29;203,20;194,77;199,87;199,87;11.839.400
4/5/2022;197,65;204,38;191,01;204,01;204,01;12.218.800
5/5/2022;200,45;200,71;186,00;188,32;188,32;13.971.300
6/5/2022;186,75;187,21;175,81;180,97;180,97;17.185.500
9/5/2022;177,66;183,20;172,30;173,10;173,10;14.031.300
10/5/2022;176,01;181,87;170,57;177,66;177,66;13.883.900
11/5/2022;176,09;180,92;165,55;166,37;166,37;12.665.500
12/5/2022;163,96;177,58;162,71;174,31;174,31;17.662.100
13/5/2022;177,16;187,77;176,01;187,64;187,64;13.136.300
16/5/2022;193,30;195,89;185,70;186,51;186,51;16.145.000
17/5/2022;189,17;191,40;185,17;190,56;190,56;9.876.700
18/5/2022;186,72;187,70;176,27;177,19;177,19;9.665.600
19/5/2022;178,05;186,30;175,71;183,48;183,48;10.448.500
20/5/2022;185,87;190,19;179,77;186,35;186,35;10.429.400
23/5/2022;186,15;187,66;177,89;187,44;187,44;9.602.000
24/5/2022;182,00;184,00;177,17;180,34;180,34;7.706.400
25/5/2022;180,28;188,87;180,17;187,83;187,83;8.522.100
26/5/2022;186,49;192,34;183,09;191,40;191,40;8.049.900
27/5/2022;193,19;195,25;190,37;195,19;195,19;8.586.000
31/5/2022;196,18;199,95;190,80;197,44;197,44;11.398.500
1/6/2022;198,70;202,74;191,66;192,91;192,91;8.416.200
2/6/2022;192,02;205,47;191,72;205,09;205,09;9.623.100
3/6/2022;200,14;202,95;198,05;198,98;198,98;7.191.800
6/6/2022;202,09;203,87;195,38;197,14;197,14;5.372.000
7/6/2022;194,87;199,60;193,00;198,61;198,61;4.839.500
8/6/2022;197,95;207,38;197,64;202,83;202,83;7.244.100
9/6/2022;200,65;201,69;192,54;192,77;192,77;6.949.000
10/6/2022;182,64;185,86;180,85;182,94;182,94;13.065.600
13/6/2022;177,07;179,09;168,96;169,69;169,69;10.222.400
14/6/2022;169,75;172,06;164,28;167,54;167,54;11.555.300
15/6/2022;169,26;183,85;168,53;180,11;180,11;12.396.000
16/6/2022;174,00;176,27;171,56;173,35;173,35;8.201.300
17/6/2022;173,63;179,65;173,34;175,51;175,51;12.133.400
21/6/2022;177,60;178,62;169,80;170,91;170,91;12.177.600
22/6/2022;170,75;182,82;170,20;178,89;178,89;11.992.400
23/6/2022;180,50;182,76;175,87;181,71;181,71;9.538.200
24/6/2022;183,50;191,19;181,84;190,85;190,85;12.424.000
27/6/2022;191,77;191,78;182,39;189,14;189,14;8.363.900
28/6/2022;189,20;192,20;179,37;179,60;179,60;7.185.400
29/6/2022;179,55;180,67;175,10;178,36;178,36;5.766.800
30/6/2022;177,07;179,45;170,30;174,87;174,87;7.894.700
1/7/2022;176,49;180,10;174,27;179,95;179,95;5.201.600
5/7/2022;176,28;185,92;172,68;185,88;185,88;7.334.300
6/7/2022;185,20;186,22;180,82;184,06;184,06;5.753.400
7/7/2022;184,27;190,21;183,50;189,27;189,27;6.334.500
8/7/2022;186,02;189,91;182,75;186,98;186,98;5.835.700
11/7/2022;184,73;184,99;176,89;177,34;177,34;6.038.800
12/7/2022;177,33;179,78;173,42;174,45;174,45;6.845.300
13/7/2022;170,50;179,18;169,70;176,56;176,56;12.734.400
14/7/2022;175,56;177,52;171,82;174,78;174,78;9.039.500
15/7/2022;175,58;189,22;174,56;189,11;189,11;16.319.100
18/7/2022;192,50;199,67;189,80;190,92;190,92;16.322.800
19/7/2022;193,02;201,97;188,40;201,63;201,63;28.178.700
20/7/2022;208,17;216,97;200,10;216,44;216,44;53.920.300
21/7/2022;214,30;224,32;211,50;223,88;223,88;23.430.100
22/7/2022;222,38;229,35;218,44;220,44;220,44;17.805.500
25/7/2022;221,31;225,23;216,35;218,51;218,51;10.935.200
26/7/2022;216,66;219,39;211,64;213,91;213,91;9.508.500
27/7/2022;216,48;227,78;214,58;226,75;226,75;10.508.400
28/7/2022;224,60;228,10;219,67;226,02;226,02;8.972.700
29/7/2022;223,29;230,75;222,40;224,90;224,90;9.064.900
1/8/2022;223,10;228,39;221,00;226,21;226,21;5.525.000
2/8/2022;222,76;228,20;220,88;221,42;221,42;6.361.300
3/8/2022;224,79;228,10;222,42;226,73;226,73;6.400.700
4/8/2022;227,68;232,07;225,05;229,91;229,91;7.142.700
5/8/2022;225,30;228,62;222,87;226,78;226,78;5.539.700
8/8/2022;227,49;241,96;226,41;233,49;233,49;10.982.100
9/8/2022;231,62;232,20;224,65;229,94;229,94;6.181.200
10/8/2022;236,99;244,54;236,60;244,11;244,11;9.254.800
11/8/2022;244,68;251,62;241,51;242,70;242,70;8.780.100
12/8/2022;244,81;249,41;243,76;249,30;249,30;6.098.500
15/8/2022;248,11;251,99;247,51;249,11;249,11;6.527.400
16/8/2022;247,16;249,29;244,03;245,69;245,69;5.136.800
17/8/2022;241,18;244,24;237,56;241,15;241,15;5.627.200
18/8/2022;241,96;246,48;239,28;245,17;245,17;5.280.400
19/8/2022;240,95;243,29;235,68;241,16;241,16;7.504.700
22/8/2022;232,55;233,48;224,59;226,54;226,54;8.630.100
23/8/2022;226,46;229,90;224,30;224,55;224,55;5.276.900
24/8/2022;225,66;234,10;223,94;229,61;229,61;5.426.300
25/8/2022;230,24;234,16;229,00;233,98;233,98;3.766.900
26/8/2022;233,63;236,95;223,15;223,28;223,28;5.349.800
29/8/2022;221,93;229,87;221,52;224,57;224,57;7.109.400
30/8/2022;226,66;229,79;218,74;220,65;220,65;5.740.400
31/8/2022;227,00;233,88;223,43;223,56;223,56;8.615.900
1/9/2022;220,72;230,37;219,47;230,04;230,04;7.292.900
2/9/2022;231,03;233,88;225,04;226,11;226,11;8.164.900
6/9/2022;225,59;226,85;214,69;218,39;218,39;7.469.000
7/9/2022;220,21;229,33;218,27;228,96;228,96;8.149.300
8/9/2022;224,16;228,74;221,30;227,44;227,44;6.737.400
9/9/2022;229,62;234,78;229,62;233,57;233,57;6.699.600
12/9/2022;233,61;239,49;233,37;236,53;236,53;6.047.400
13/9/2022;226,50;227,69;217,72;218,13;218,13;8.000.100
14/9/2022;219,82;228,00;215,80;224,12;224,12;8.230.300
15/9/2022;230,47;242,29;229,10;235,38;235,38;19.454.100
16/9/2022;231,22;241,36;227,83;240,13;240,13;18.914.200
19/9/2022;245,05;245,25;235,75;243,63;243,63;17.912.400
20/9/2022;240,37;250,49;239,66;242,85;242,85;16.037.400
21/9/2022;242,67;248,30;236,68;236,87;236,87;9.166.800
22/9/2022;235,35;240,50;231,66;237,05;237,05;10.018.000
23/9/2022;235,14;236,45;221,43;226,41;226,41;11.207.200
26/9/2022;225,60;232,70;223,01;224,07;224,07;8.234.300
27/9/2022;228,63;230,64;220,72;224,36;224,36;7.762.200
28/9/2022;229,69;246,65;227,38;245,20;245,20;17.579.700
29/9/2022;241,61;246,98;235,68;239,71;239,71;18.994.900
30/9/2022;237,00;242,44;233,26;235,44;235,44;11.848.600
3/10/2022;237,85;241,54;232,85;239,04;239,04;8.657.400
4/10/2022;244,84;245,80;233,25;240,74;240,74;13.925.900
5/10/2022;238,76;241,59;227,38;236,73;236,73;10.825.600
6/10/2022;236,68;244,28;233,91;240,02;240,02;9.188.900
7/10/2022;235,77;237,33;224,28;224,75;224,75;9.806.100
10/10/2022;225,64;233,83;224,23;229,98;229,98;9.991.100
11/10/2022;226,05;230,44;213,70;214,29;214,29;15.282.400
12/10/2022;214,30;223,67;212,64;220,87;220,87;12.952.600
13/10/2022;212,69;234,47;211,73;232,51;232,51;17.505.000
14/10/2022;237,80;238,80;229,51;230,00;230,00;15.293.400
17/10/2022;234,41;249,92;234,40;245,10;245,10;21.057.800
18/10/2022;249,80;250,37;237,73;240,86;240,86;25.776.700
19/10/2022;265,00;279,30;262,66;272,38;272,38;46.685.300
20/10/2022;272,78;278,38;266,38;268,16;268,16;17.207.100
21/10/2022;268,95;290,75;265,68;289,57;289,57;24.889.100
24/10/2022;290,23;290,49;280,36;282,45;282,45;13.326.400
25/10/2022;286,95;297,59;285,55;291,02;291,02;15.100.700
26/10/2022;290,04;305,63;288,04;298,62;298,62;15.714.100
27/10/2022;298,33;305,21;294,78;296,94;296,94;14.612.600
28/10/2022;297,70;301,19;292,29;295,72;295,72;9.960.500
31/10/2022;295,13;297,62;289,50;291,88;291,88;7.505.100
1/11/2022;296,17;299,70;286,42;286,75;286,75;6.916.400
2/11/2022;286,40;287,33;272,84;273,00;273,00;10.367.600
3/11/2022;271,25;276,29;268,80;269,06;269,06;7.057.400
4/11/2022;272,02;274,97;255,32;260,79;260,79;11.124.700
7/11/2022;261,06;261,15;252,09;258,60;258,60;7.927.000
8/11/2022;259,92;266,08;256,88;263,46;263,46;7.683.800
9/11/2022;259,66;260,90;254,22;254,66;254,66;7.266.000
10/11/2022;265,99;275,36;260,09;274,97;274,97;9.667.300
11/11/2022;274,47;290,66;271,56;290,13;290,13;9.573.800
14/11/2022;290,00;311,00;288,19;299,27;299,27;17.978.200
15/11/2022;309,20;312,71;302,55;310,20;310,20;14.626.900
16/11/2022;309,94;310,49;303,61;306,02;306,02;8.038.600
17/11/2022;294,72;299,82;291,00;295,28;295,28;9.838.200
18/11/2022;297,33;298,00;287,00;287,98;287,98;8.400.100
21/11/2022;291,00;291,87;282,66;285,05;285,05;7.256.500
22/11/2022;284,99;286,98;277,34;286,69;286,69;6.245.100
23/11/2022;285,91;292,47;283,76;291,50;291,50;5.919.000
25/11/2022;289,00;289,21;284,17;285,54;285,54;3.236.000
28/11/2022;284,00;289,55;280,53;281,17;281,17;4.703.400
29/11/2022;282,50;282,96;275,94;280,96;280,96;5.786.900
30/11/2022;281,37;308,26;280,41;305,53;305,53;16.070.100
1/12/2022;303,99;319,80;303,03;316,95;316,95;14.664.900
2/12/2022;310,49;321,99;310,00;320,41;320,41;12.690.600
5/12/2022;316,46;322,77;310,92;312,59;312,59;8.423.000
6/12/2022;311,00;313,22;303,13;305,56;305,56;7.195.400
7/12/2022;306,50;309,61;302,10;308,42;308,42;7.821.600
8/12/2022;309,11;312,38;304,81;310,26;310,26;7.205.300
9/12/2022;321,45;329,00;319,52;320,01;320,01;14.364.000
12/12/2022;320,00;323,18;308,85;315,18;315,18;10.148.600
